Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Ocupapolitica,https://www.instagram.com/ocupa_politica/,518,864,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,7247,72,294
MUITAS,https://www.instagram.com/as_muitas/,1466,26,107
Bancada Ativista,https://www.instagram.com/bancadaativista/,3781,2701,136
RenovaBR,https://www.instagram.com/renovabr/,25830,1759,152
Mídia NINJA,https://www.instagram.com/midianinja/,267988,485,9652
342 Artes,https://www.instagram.com/342artes/,2669,3,106
MST Oficial,https://www.instagram.com/movimentosemterra/,29630,40,436
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,1025,93,37
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,36357,6087,1634
CUT Brasil,https://www.instagram.com/cutbrasil/,22223,428,883
Juntos!,https://www.instagram.com/coletivojuntos/,5486,2371,636
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,887,540,73
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9957,408,998
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,1003,4,91
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1114,380,422
UBES,https://www.instagram.com/ubesoficial/,11540,122,825
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,39903,885,326
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,516,275,40
,https://www.instagram.com/contag/,46,0,15
Geledés,https://www.instagram.com/portalgeledes/,33278,211,314
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5257,297,394
Não Me Kahlo,https://www.instagram.com/naokahlo/,71285,92,480
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,97047,591,4707
Revoltados On Line,https://www.instagram.com/revoltadoson/,22,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2328,138,42
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,173679,735,2008
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,60,205,3
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,255198,1,256
Ciro Gomes,https://www.instagram.com/cirogomes/,117418,135,23
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_/,107264,34,3843
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1180414,350,1312
Michel Temer,https://www.instagram.com/micheltemer/,105852,104,624
Marina Silva,https://www.instagram.com/_marinasilva_/,94521,68,785
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9628,67,169
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,15222,301,1735
robertoljustus,https://www.instagram.com/robertoljustus/,1100342,152,1058
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,81689,107,724
Jaques Wagner,https://www.instagram.com/jaqueswagner/,22176,162,600
Fernando Collor,https://www.instagram.com/fernando_collor/,13736,753,1420
Cristovam Buarque,https://www.instagram.com/buarquecristovam/,9830,723,83
