Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Ocupapolitica,https://www.instagram.com/ocupa_politica/,518,864,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,7293,72,296
MUITAS,https://www.instagram.com/as_muitas/,1464,26,110
Bancada Ativista,https://www.instagram.com/bancadaativista/,3797,2701,136
RenovaBR,https://www.instagram.com/renovabr/,26019,3617,153
Mídia NINJA,https://www.instagram.com/midianinja/,268841,486,9678
342 Artes,https://www.instagram.com/342artes/,2671,3,106
MST Oficial,https://www.instagram.com/movimentosemterra/,29959,40,439
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,1025,93,37
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,36523,6951,1637
CUT Brasil,https://www.instagram.com/cutbrasil/,22327,428,884
Juntos!,https://www.instagram.com/coletivojuntos/,5486,2373,638
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,885,539,73
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,10049,513,1002
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,1001,4,91
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1117,382,422
UBES,https://www.instagram.com/ubesoficial/,11562,122,826
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,39993,803,326
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,612,277,50
,https://www.instagram.com/contag/,46,0,15
Geledés,https://www.instagram.com/portalgeledes/,33426,211,314
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5272,297,395
Não Me Kahlo,https://www.instagram.com/naokahlo/,71521,92,481
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,97128,591,4711
Revoltados On Line,https://www.instagram.com/revoltadoson/,22,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2326,139,42
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,174306,1977,2009
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,60,205,3
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,256358,1,258
Ciro Gomes,https://www.instagram.com/cirogomes/,119185,138,24
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_/,107331,34,3844
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1183739,350,1315
Michel Temer,https://www.instagram.com/micheltemer/,106142,104,624
Marina Silva,https://www.instagram.com/_marinasilva_/,94602,68,785
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9620,69,169
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,15191,301,1736
robertoljustus,https://www.instagram.com/robertoljustus/,1101514,151,1059
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,83014,110,734
Jaques Wagner,https://www.instagram.com/jaqueswagner/,22225,162,601
Fernando Collor,https://www.instagram.com/fernando_collor/,13778,753,1420
Cristovam Buarque,https://www.instagram.com/buarquecristovam/,9828,726,84
