Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Ocupapolitica,https://www.instagram.com/ocupa_politica/,519,865,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,7310,72,296
MUITAS,https://www.instagram.com/as_muitas/,1464,26,112
Bancada Ativista,https://www.instagram.com/bancadaativista/,3808,2700,136
RenovaBR,https://www.instagram.com/renovabr/,26137,4866,153
Mídia NINJA,https://www.instagram.com/midianinja/,269432,486,9714
342 Artes,https://www.instagram.com/342artes/,2675,3,106
MST Oficial,https://www.instagram.com/movimentosemterra/,30180,40,439
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,1027,92,38
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,36580,6653,1641
CUT Brasil,https://www.instagram.com/cutbrasil/,22405,428,884
Juntos!,https://www.instagram.com/coletivojuntos/,5487,2373,641
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,886,539,73
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,10271,424,1011
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,1002,4,92
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1115,382,422
UBES,https://www.instagram.com/ubesoficial/,11576,122,828
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,40031,498,327
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,629,278,51
,https://www.instagram.com/contag/,46,0,15
Geledés,https://www.instagram.com/portalgeledes/,33471,211,314
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5285,297,395
Não Me Kahlo,https://www.instagram.com/naokahlo/,71691,93,483
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,97157,591,4712
Revoltados On Line,https://www.instagram.com/revoltadoson/,22,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2327,139,42
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,174463,873,2009
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,60,205,3
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,256911,1,258
Ciro Gomes,https://www.instagram.com/cirogomes/,119586,138,26
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_/,107367,34,3844
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1185495,350,1318
Michel Temer,https://www.instagram.com/micheltemer/,106197,104,624
Marina Silva,https://www.instagram.com/_marinasilva_/,94625,68,785
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9618,69,169
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,15171,302,1736
robertoljustus,https://www.instagram.com/robertoljustus/,1102189,152,1060
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,83568,111,740
Jaques Wagner,https://www.instagram.com/jaqueswagner/,22246,162,601
Fernando Collor,https://www.instagram.com/fernando_collor/,13782,753,1420
Cristovam Buarque,https://www.instagram.com/buarquecristovam/,9813,726,85
