Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Frente Brasil Popular;/s;/s;/s;/s
Frente Povo Sem Medo;/s;/s;/s;/s
Ocupapolitica,https://www.instagram.com/ocupa_politica/,501,862,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,6941,70,274
MUITAS,https://www.instagram.com/as_muitas/,1441,47,83
Bancada Ativista,https://www.instagram.com/bancadaativista/,3632,2683,136
RenovaBR,https://www.instagram.com/renovabr/,24452,2681,147
Frente Nacional Contra a censura;/s;/s;/s;/s
Frente Autônoma LGBT;/s;/s;/s;/s
Frente Nacional pela legalização do aborto;/s;/s;/s;/s
Mídia NINJA,https://www.instagram.com/midianinja/,259281,479,9384
342 Artes,https://www.instagram.com/342artes/,2658,3,105
MTST - Movimento Trabalhadores Sem-Teto;/s;/s;/s;/s
MST Oficial,https://www.instagram.com/movimentosemterra/,27031,40,421
MPL - Movimento Passe Livre;/s;/s;/s;/s
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,999,88,31
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,35404,5059,1619
CUT Brasil,https://www.instagram.com/cutbrasil/,21250,428,862
levantepopularjuventude;/s;/s;/s;/s
Juntos!,https://www.instagram.com/coletivojuntos/,5356,2366,612
Mai Suzuki;/s;/s;/s;/s
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,876,539,72
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9456,402,958
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,994,4,90
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1086,377,419
Faísca - Anticapitalista e Revolucionária;/s;/s;/s;/s
Pão e Rosas Brasil;/s;/s;/s;/s
MRT - Movimento Revolucionário dos Trabalhadores;/s;/s;/s;/s
UBES,https://www.instagram.com/ubesoficial/,11426,123,808
União da Juventude Comunista,https://www.instagram.com/ujcbrasil/,2077,149,153
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,39238,798,324
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,468,270,34
União Brasileira de Mulheres UBM;/s;/s;/s;/s
Movimento dos Atingidos por Barragens (MAB);/s;/s;/s;/s
,https://www.instagram.com/contag/,45,0,15
Geledés,https://www.instagram.com/portalgeledes/,32831,210,311
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5156,298,388
Não Me Kahlo,https://www.instagram.com/naokahlo/,69352,91,473
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,93564,589,4664
Revoltados On Line,https://www.instagram.com/revoltadoson/,21,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2317,138,42
Escola Sem Partido;/s;/s;/s;/s
Instituto Mercado Popular;/s;/s;/s;/s
Libertarianismo +;/s;/s;/s;/s
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,165899,619,1958
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,60,206,3
,https://www.instagram.com/Livres/,55,16,15
NasRuas,https://www.instagram.com/nasruasbrasil/,6195,13,318
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,241111,1,247
Fernando Haddad,https://www.instagram.com/fernandohaddadoficial/,31978,3,39
Ciro Gomes,https://www.instagram.com/cirogomes/,109347,131,13
João Doria,https://www.instagram.com/jdoriajr/,730960,144,2305
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_/,106354,34,3821
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1136862,345,1285
Henrique Meirelles,https://www.instagram.com/henriquemeirelles.real/,11754,19,127
Michel Temer,https://www.instagram.com/micheltemer/,96343,104,620
Marina Silva,https://www.instagram.com/_marinasilva_/,94093,68,779
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9640,61,166
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,15703,301,1722
flaviogr1;/s;/s;/s;/s
robertoljustus,https://www.instagram.com/robertoljustus/,1092143,152,1050
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,71436,99,621
Jaques Wagner,https://www.instagram.com/jaqueswagner/,21593,162,596
Fernando Collor,https://www.instagram.com/fernando_collor/,13465,750,1406
Celso Amorim;/s;/s;/s;/s
Cristovam Buarque,https://www.instagram.com/buarquecristovam/,9818,723,83
