Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Ocupapolitica,https://www.instagram.com/ocupa_politica/,519,865,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,7328,72,298
MUITAS,https://www.instagram.com/as_muitas/,1467,26,114
Bancada Ativista,https://www.instagram.com/bancadaativista/,3811,2701,136
RenovaBR,https://www.instagram.com/renovabr/,26235,5499,154
Mídia NINJA,https://www.instagram.com/midianinja/,269756,487,9723
342 Artes,https://www.instagram.com/342artes/,2677,3,106
MST Oficial,https://www.instagram.com/movimentosemterra/,30309,40,440
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,1029,91,39
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,36615,6358,1641
CUT Brasil,https://www.instagram.com/cutbrasil/,22430,428,884
Juntos!,https://www.instagram.com/coletivojuntos/,5492,2371,643
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,887,539,73
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,10336,420,1014
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,1006,4,92
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1122,382,422
UBES,https://www.instagram.com/ubesoficial/,11579,122,829
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,40067,791,327
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,640,277,52
,https://www.instagram.com/contag/,46,0,15
Geledés,https://www.instagram.com/portalgeledes/,33501,211,314
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5295,297,395
Não Me Kahlo,https://www.instagram.com/naokahlo/,71820,93,483
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,97145,591,4713
Revoltados On Line,https://www.instagram.com/revoltadoson/,22,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2326,139,42
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,174550,525,2011
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,60,205,3
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,257110,1,258
Ciro Gomes,https://www.instagram.com/cirogomes/,119812,138,26
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_/,107425,34,3845
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1186652,350,1320
Michel Temer,https://www.instagram.com/micheltemer/,106236,104,624
Marina Silva,https://www.instagram.com/_marinasilva_/,94675,68,786
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9616,69,169
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,15153,302,1736
robertoljustus,https://www.instagram.com/robertoljustus/,1102450,152,1060
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,83832,111,746
Jaques Wagner,https://www.instagram.com/jaqueswagner/,22268,162,601
Fernando Collor,https://www.instagram.com/fernando_collor/,13790,753,1420
Cristovam Buarque,https://www.instagram.com/buarquecristovam/,9812,726,86
