username;Data;stories
ocupa_politica;4/6/2018-7:17;0
agoramovimento;4/6/2018-7:17;5
as_muitas;4/6/2018-7:17;0
bancadaativista;4/6/2018-7:17;0
renovabr;4/6/2018-7:17;0
midianinja;4/6/2018-7:17;6
342artes;4/6/2018-7:17;0
movimentosemterra;4/6/2018-7:17;0
movimentolutanosbairros;4/6/2018-7:17;2
uneoficial;4/6/2018-7:17;7
cutbrasil;4/6/2018-7:17;0
coletivojuntos;4/6/2018-7:17;1
movimentocorrenteza;4/6/2018-7:17;0
ujs_brasil;4/6/2018-7:17;7
ujr_brasil;4/6/2018-7:17;1
movimentoolga;4/6/2018-7:17;0
ubesoficial;4/6/2018-7:17;1
ujcbrasil;4/6/2018-7:17;0
rua_juventudeanticapitalista;4/6/2018-7:17;0
afronte.nacional;4/6/2018-7:17;7
contag;4/6/2018-7:17;0
portalgeledes;4/6/2018-7:17;0
marchamulheres;4/6/2018-7:17;2
naokahlo;4/6/2018-7:17;11
vemprarua_br;4/6/2018-7:17;0
revoltadoson;4/6/2018-7:17;0
estudantespelaliberdade;4/6/2018-7:17;0
mblivre;4/6/2018-7:17;1
movimentocontraacorrupcao;4/6/2018-7:18;0
nasruasbrasil;4/6/2018-7:18;0
luizinacioluladasilvaoficial;4/6/2018-7:18;0
fernandohaddadoficial;4/6/2018-7:18;0
cirogomes;4/6/2018-7:18;0
jdoriajr;4/6/2018-7:18;0
geraldoalckmin_;4/6/2018-7:18;1
jairmessiasbolsonaro;4/6/2018-7:18;3
micheltemer;4/6/2018-7:18;0
_marinasilva_;4/6/2018-7:18;0
levyfidelix28;4/6/2018-7:18;0
pastoreveraldo;4/6/2018-7:18;0
robertoljustus;4/6/2018-7:18;0
guilhermeboulos.oficial;4/6/2018-7:18;11
jaqueswagner;4/6/2018-7:18;0
fernando_collor;4/6/2018-7:18;0
buarquecristovam;4/6/2018-7:18;4
username;Data;stories
ocupa_politica;4/6/2018-7:33;0
agoramovimento;4/6/2018-7:33;5
as_muitas;4/6/2018-7:33;0
bancadaativista;4/6/2018-7:33;0
renovabr;4/6/2018-7:33;0
midianinja;4/6/2018-7:33;6
342artes;4/6/2018-7:33;0
movimentosemterra;4/6/2018-7:33;0
movimentolutanosbairros;4/6/2018-7:33;2
uneoficial;4/6/2018-7:33;7
cutbrasil;4/6/2018-7:33;0
coletivojuntos;4/6/2018-7:33;1
movimentocorrenteza;4/6/2018-7:33;0
ujs_brasil;4/6/2018-7:33;7
ujr_brasil;4/6/2018-7:33;1
movimentoolga;4/6/2018-7:33;0
ubesoficial;4/6/2018-7:33;1
ujcbrasil;4/6/2018-7:33;0
rua_juventudeanticapitalista;4/6/2018-7:33;0
afronte.nacional;4/6/2018-7:33;7
contag;4/6/2018-7:33;0
portalgeledes;4/6/2018-7:33;0
marchamulheres;4/6/2018-7:33;2
naokahlo;4/6/2018-7:33;11
vemprarua_br;4/6/2018-7:33;0
revoltadoson;4/6/2018-7:33;0
estudantespelaliberdade;4/6/2018-7:33;0
mblivre;4/6/2018-7:33;1
movimentocontraacorrupcao;4/6/2018-7:33;0
nasruasbrasil;4/6/2018-7:33;0
