Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Frente Brasil Popular;/s;/s;/s;/s
Frente Povo Sem Medo;/s;/s;/s;/s
Ocupapolitica,https://www.instagram.com/ocupa_politica/,502,863,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,6961,71,276
MUITAS,https://www.instagram.com/as_muitas/,1439,47,84
Bancada Ativista,https://www.instagram.com/bancadaativista/,3639,2684,136
RenovaBR,https://www.instagram.com/renovabr/,24467,1746,147
Frente Nacional Contra a censura;/s;/s;/s;/s
Frente Autônoma LGBT;/s;/s;/s;/s
Frente Nacional pela legalização do aborto;/s;/s;/s;/s
Mídia NINJA,https://www.instagram.com/midianinja/,259552,479,9401
342 Artes,https://www.instagram.com/342artes/,2660,3,105
MTST - Movimento Trabalhadores Sem-Teto;/s;/s;/s;/s
MST Oficial,https://www.instagram.com/movimentosemterra/,27190,40,421
MPL - Movimento Passe Livre;/s;/s;/s;/s
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,1002,88,31
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,35482,5179,1620
CUT Brasil,https://www.instagram.com/cutbrasil/,21292,427,863
levantepopularjuventude;/s;/s;/s;/s
Juntos!,https://www.instagram.com/coletivojuntos/,5360,2366,613
Mai Suzuki;/s;/s;/s;/s
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,875,539,72
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9468,403,960
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,996,4,90
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1087,377,419
Faísca - Anticapitalista e Revolucionária;/s;/s;/s;/s
Pão e Rosas Brasil;/s;/s;/s;/s
MRT - Movimento Revolucionário dos Trabalhadores;/s;/s;/s;/s
UBES,https://www.instagram.com/ubesoficial/,11432,123,809
União da Juventude Comunista,https://www.instagram.com/ujcbrasil/,2082,149,153
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,39268,617,324
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,469,270,34
União Brasileira de Mulheres UBM;/s;/s;/s;/s
Movimento dos Atingidos por Barragens (MAB);/s;/s;/s;/s
,https://www.instagram.com/contag/,45,0,15
Geledés,https://www.instagram.com/portalgeledes/,32882,210,311
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5160,298,388
Não Me Kahlo,https://www.instagram.com/naokahlo/,69505,92,473
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,93604,590,4669
Revoltados On Line,https://www.instagram.com/revoltadoson/,21,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2317,138,42
Escola Sem Partido;/s;/s;/s;/s
Instituto Mercado Popular;/s;/s;/s;/s
Libertarianismo +;/s;/s;/s;/s
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,166564,1101,1964
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,60,206,3
,https://www.instagram.com/Livres/,55,17,15
NasRuas,https://www.instagram.com/nasruasbrasil/,6224,13,322
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,241419,1,248
Fernando Haddad,https://www.instagram.com/fernandohaddadoficial/,32242,3,39
Ciro Gomes,https://www.instagram.com/cirogomes/,109455,131,12
João Doria,https://www.instagram.com/jdoriajr/,730673,144,2310
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_/,106373,34,3823
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1138873,346,1286
Henrique Meirelles,https://www.instagram.com/henriquemeirelles.real/,11796,19,128
Michel Temer,https://www.instagram.com/micheltemer/,96403,104,621
Marina Silva,https://www.instagram.com/_marinasilva_/,94116,68,779
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9636,60,166
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,15726,301,1722
flaviogr1;/s;/s;/s;/s
robertoljustus,https://www.instagram.com/robertoljustus/,1092608,152,1051
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,71883,103,627
Jaques Wagner,https://www.instagram.com/jaqueswagner/,21634,162,598
Fernando Collor,https://www.instagram.com/fernando_collor/,13483,750,1407
Celso Amorim;/s;/s;/s;/s
Cristovam Buarque,https://www.instagram.com/buarquecristovam/,9814,723,83
