Nome real da conta,Conta,Seguidores,Seguindo,Postagens
MUITAS,https://www.instagram.com/as_muitas/,1441,47,83
Bancada Ativista,https://www.instagram.com/bancadaativista/,3625,2683,136
RenovaBR,https://www.instagram.com/renovabr/,24451,2885,146
Mídia NINJA,https://www.instagram.com/midianinja/,259188,479,9368
342 Artes,https://www.instagram.com/342artes/,2657,3,105
MST Oficial,https://www.instagram.com/movimentosemterra/,26982,40,420
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,997,88,31
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,35350,4935,1619
CUT Brasil,https://www.instagram.com/cutbrasil/,21234,427,862
Juntos!,https://www.instagram.com/coletivojuntos/,5353,2366,612
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,874,539,72
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9446,402,956
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,994,4,90
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1084,377,419
UBES,https://www.instagram.com/ubesoficial/,11420,123,808
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,39225,564,324
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,464,270,34
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5152,298,388
Não Me Kahlo,https://www.instagram.com/naokahlo/,69244,91,473
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,93542,589,4663
Revoltados On Line,https://www.instagram.com/revoltadoson/,21,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2316,138,42
Ocupapolitica,https://www.instagram.com/ocupa_politica/,501,862,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,6928,70,274
MUITAS,https://www.instagram.com/as_muitas/,1441,47,83
LEVANTE POPULAR DA JUVENTUDE,https://www.instagram.com/levantedajuventude/,22168,87,803
União da Juventude Comunista,https://www.instagram.com/ujcbrasil/,2074,149,153
UBM Brasil,https://www.instagram.com/ubmbrasil/,1298,2131,150
,https://www.instagram.com/contag/,45,0,15
Geledés,https://www.instagram.com/portalgeledes/,32817,210,311
Instituto Mercado Popular,https://www.instagram.com/omercadopopular/,268,5,1
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,165589,830,1953
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,60,206,3
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,241039,1,247
Fernando Haddad,https://www.instagram.com/fernandohaddadoficial/,31922,3,39
Ciro Gomes,https://www.instagram.com/cirogomes/,109289,131,13
João Doria,https://www.instagram.com/jdoriajr/,731017,144,2304
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_/,106346,34,3820
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1135949,346,1285
Henrique Meirelles,https://www.instagram.com/henriquemeirelles.real/,11732,19,126
Michel Temer,https://www.instagram.com/micheltemer/,96331,104,620
Marina Silva,https://www.instagram.com/_marinasilva_/,94088,68,778
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9640,60,166
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,15649,300,1722
robertoljustus,https://www.instagram.com/robertoljustus/,1092016,152,1050
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,71263,99,620
Jaques Wagner,https://www.instagram.com/jaqueswagner/,21585,162,596
Fernando Collor,https://www.instagram.com/fernando_collor/,13457,750,1406
