username;Data;stories
ocupa_politica;1/6/2018-0:11;0
agoramovimento;1/6/2018-0:11;4
as_muitas;1/6/2018-0:12;0
bancadaativista;1/6/2018-0:12;1
renovabr;1/6/2018-0:12;0
midianinja;1/6/2018-0:12;1
342artes;1/6/2018-0:12;0
movimentosemterra;1/6/2018-0:12;0
movimentolutanosbairros;1/6/2018-0:12;0
uneoficial;1/6/2018-0:12;0
cutbrasil;1/6/2018-0:12;0
coletivojuntos;1/6/2018-0:12;0
movimentocorrenteza;1/6/2018-0:12;0
ujs_brasil;1/6/2018-0:12;3
ujr_brasil;1/6/2018-0:12;0
movimentoolga;1/6/2018-0:12;0
ubesoficial;1/6/2018-0:12;1
ujcbrasil;1/6/2018-0:12;0
rua_juventudeanticapitalista;1/6/2018-0:12;0
afronte.nacional;1/6/2018-0:12;1
contag;1/6/2018-0:12;0
portalgeledes;1/6/2018-0:12;0
marchamulheres;1/6/2018-0:12;5
naokahlo;1/6/2018-0:12;0
vemprarua_br;1/6/2018-0:12;0
revoltadoson;1/6/2018-0:12;0
estudantespelaliberdade;1/6/2018-0:12;0
mblivre;1/6/2018-0:12;4
movimentocontraacorrupcao;1/6/2018-0:12;0
nasruasbrasil;1/6/2018-0:12;0
luizinacioluladasilvaoficial;1/6/2018-0:12;0
fernandohaddadoficial;1/6/2018-0:12;0
cirogomes;1/6/2018-0:12;0
jdoriajr;1/6/2018-0:12;6
geraldoalckmin_;1/6/2018-0:12;0
jairmessiasbolsonaro;1/6/2018-0:12;0
micheltemer;1/6/2018-0:12;0
_marinasilva_;1/6/2018-0:12;0
levyfidelix28;1/6/2018-0:12;0
pastoreveraldo;1/6/2018-0:12;0
robertoljustus;1/6/2018-0:12;0
guilhermeboulos.oficial;1/6/2018-0:12;1
jaqueswagner;1/6/2018-0:12;0
fernando_collor;1/6/2018-0:12;0
buarquecristovam;1/6/2018-0:12;0
