Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Ocupapolitica,https://www.instagram.com/ocupa_politica/,503,863,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,6973,71,277
MUITAS,https://www.instagram.com/as_muitas/,1439,46,84
Bancada Ativista,https://www.instagram.com/bancadaativista/,3640,2685,136
RenovaBR,https://www.instagram.com/renovabr/,24480,1648,147
Mídia NINJA,https://www.instagram.com/midianinja/,259637,480,9403
342 Artes,https://www.instagram.com/342artes/,2659,3,105
MST Oficial,https://www.instagram.com/movimentosemterra/,27249,40,421
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,1003,88,31
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,35497,4998,1620
CUT Brasil,https://www.instagram.com/cutbrasil/,21309,427,863
Juntos!,https://www.instagram.com/coletivojuntos/,5359,2368,613
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,876,539,72
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9476,403,960
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,997,4,90
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1086,377,419
UBES,https://www.instagram.com/ubesoficial/,11431,123,809
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,39293,757,324
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,468,270,34
,https://www.instagram.com/contag/,45,0,15
Geledés,https://www.instagram.com/portalgeledes/,32900,210,311
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5162,298,388
Não Me Kahlo,https://www.instagram.com/naokahlo/,69550,92,473
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,93622,590,4669
Revoltados On Line,https://www.instagram.com/revoltadoson/,21,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2317,138,42
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,166731,1565,1964
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,60,206,3
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,241483,1,249
Ciro Gomes,https://www.instagram.com/cirogomes/,109502,131,12
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_/,106379,34,3823
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1139435,346,1286
Michel Temer,https://www.instagram.com/micheltemer/,96405,104,621
Marina Silva,https://www.instagram.com/_marinasilva_/,94123,68,779
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9634,60,166
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,15675,301,1722
robertoljustus,https://www.instagram.com/robertoljustus/,1092851,152,1052
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,72042,103,628
Jaques Wagner,https://www.instagram.com/jaqueswagner/,21655,162,598
Fernando Collor,https://www.instagram.com/fernando_collor/,13490,750,1408
Cristovam Buarque,https://www.instagram.com/buarquecristovam/,9817,723,83
