username,Data,stories
ocupa_politica,20/5/2018-11:13,0
agoramovimento,20/5/2018-11:13,0
as_muitas,20/5/2018-11:13,0
bancadaativista,20/5/2018-11:13,0
renovabr,20/5/2018-11:13,0
midianinja,20/5/2018-11:13,9
342artes,20/5/2018-11:13,0
movimentosemterra,20/5/2018-11:13,0
movimentolutanosbairros,20/5/2018-11:13,0
uneoficial,20/5/2018-11:13,2
cutbrasil,20/5/2018-11:13,0
coletivojuntos,20/5/2018-11:13,0
movimentocorrenteza,20/5/2018-11:13,0
ujs_brasil,20/5/2018-11:13,8
ujr_brasil,20/5/2018-11:13,0
movimentoolga,20/5/2018-11:13,0
ubesoficial,20/5/2018-11:13,0
ujcbrasil,20/5/2018-11:13,0
rua_juventudeanticapitalista,20/5/2018-11:13,0
afronte.nacional,20/5/2018-11:13,0
contag,20/5/2018-11:13,0
portalgeledes,20/5/2018-11:13,0
marchamulheres,20/5/2018-11:13,0
naokahlo,20/5/2018-11:13,0
vemprarua_br,20/5/2018-11:13,0
revoltadoson,20/5/2018-11:13,0
estudantespelaliberdade,20/5/2018-11:13,0
mblivre,20/5/2018-11:13,4
movimentocontraacorrupcao,20/5/2018-11:13,0
nasruasbrasil,20/5/2018-11:13,0
luizinacioluladasilvaoficial,20/5/2018-11:13,0
fernandohaddadoficial,20/5/2018-11:13,1
cirogomes,20/5/2018-11:14,0
jdoriajr,20/5/2018-11:14,2
geraldoalckmin_,20/5/2018-11:14,0
jairmessiasbolsonaro,20/5/2018-11:14,0
micheltemer,20/5/2018-11:14,0
_marinasilva_,20/5/2018-11:14,0
levyfidelix28,20/5/2018-11:14,1
pastoreveraldo,20/5/2018-11:14,8
robertoljustus,20/5/2018-11:14,0
guilhermeboulos.oficial,20/5/2018-11:14,2
jaqueswagner,20/5/2018-11:14,0
fernando_collor,20/5/2018-11:14,1
buarquecristovam,20/5/2018-11:14,0
