username,Data,stories
ocupa_politica,18/5/2018-22:43,0
agoramovimento,18/5/2018-22:43,4
as_muitas,18/5/2018-22:43,0
bancadaativista,18/5/2018-22:43,0
renovabr,18/5/2018-22:43,0
midianinja,18/5/2018-22:44,5
342artes,18/5/2018-22:44,0
movimentosemterra,18/5/2018-22:44,0
movimentolutanosbairros,18/5/2018-22:44,0
uneoficial,18/5/2018-22:44,0
cutbrasil,18/5/2018-22:44,0
coletivojuntos,18/5/2018-22:44,4
movimentocorrenteza,18/5/2018-22:44,0
ujs_brasil,18/5/2018-22:44,5
ujr_brasil,18/5/2018-22:44,0
movimentoolga,18/5/2018-22:44,0
ubesoficial,18/5/2018-22:44,2
ujcbrasil,18/5/2018-22:44,0
rua_juventudeanticapitalista,18/5/2018-22:44,0
afronte.nacional,18/5/2018-22:44,1
contag,18/5/2018-22:44,0
portalgeledes,18/5/2018-22:44,0
marchamulheres,18/5/2018-22:44,0
naokahlo,18/5/2018-22:44,0
vemprarua_br,18/5/2018-22:44,0
revoltadoson,18/5/2018-22:44,0
estudantespelaliberdade,18/5/2018-22:44,0
mblivre,18/5/2018-22:44,6
movimentocontraacorrupcao,18/5/2018-22:44,0
nasruasbrasil,18/5/2018-22:44,0
luizinacioluladasilvaoficial,18/5/2018-22:44,0
fernandohaddadoficial,18/5/2018-22:44,0
cirogomes,18/5/2018-22:44,0
jdoriajr,18/5/2018-22:44,11
geraldoalckmin_,18/5/2018-22:44,1
jairmessiasbolsonaro,18/5/2018-22:44,3
micheltemer,18/5/2018-22:44,4
_marinasilva_,18/5/2018-22:44,9
levyfidelix28,18/5/2018-22:44,0
pastoreveraldo,18/5/2018-22:44,0
robertoljustus,18/5/2018-22:44,0
guilhermeboulos.oficial,18/5/2018-22:44,31
jaqueswagner,18/5/2018-22:44,13
fernando_collor,18/5/2018-22:44,0
buarquecristovam,18/5/2018-22:44,0
