username,Data,stories
ocupa_politica,24/5/2018-23:42,0
agoramovimento,24/5/2018-23:42,6
as_muitas,24/5/2018-23:42,0
bancadaativista,24/5/2018-23:42,0
renovabr,24/5/2018-23:42,4
midianinja,24/5/2018-23:43,5
342artes,24/5/2018-23:43,0
movimentosemterra,24/5/2018-23:43,2
movimentolutanosbairros,24/5/2018-23:43,1
uneoficial,24/5/2018-23:43,5
cutbrasil,24/5/2018-23:43,0
coletivojuntos,24/5/2018-23:43,11
movimentocorrenteza,24/5/2018-23:43,0
ujs_brasil,24/5/2018-23:43,3
ujr_brasil,24/5/2018-23:43,0
movimentoolga,24/5/2018-23:43,0
ubesoficial,24/5/2018-23:43,0
ujcbrasil,24/5/2018-23:43,0
rua_juventudeanticapitalista,24/5/2018-23:43,12
afronte.nacional,24/5/2018-23:43,1
contag,24/5/2018-23:43,0
portalgeledes,24/5/2018-23:43,0
marchamulheres,24/5/2018-23:43,0
naokahlo,24/5/2018-23:43,1
vemprarua_br,24/5/2018-23:43,0
revoltadoson,24/5/2018-23:43,0
estudantespelaliberdade,24/5/2018-23:43,0
mblivre,24/5/2018-23:43,6
movimentocontraacorrupcao,24/5/2018-23:43,0
nasruasbrasil,24/5/2018-23:43,0
luizinacioluladasilvaoficial,24/5/2018-23:43,0
fernandohaddadoficial,24/5/2018-23:43,0
cirogomes,24/5/2018-23:43,0
jdoriajr,24/5/2018-23:43,7
geraldoalckmin_,24/5/2018-23:43,4
jairmessiasbolsonaro,24/5/2018-23:43,1
micheltemer,24/5/2018-23:43,2
_marinasilva_,24/5/2018-23:44,0
levyfidelix28,24/5/2018-23:44,0
pastoreveraldo,24/5/2018-23:44,0
robertoljustus,24/5/2018-23:44,0
guilhermeboulos.oficial,24/5/2018-23:44,33
jaqueswagner,24/5/2018-23:44,1
fernando_collor,24/5/2018-23:44,4
buarquecristovam,24/5/2018-23:44,0
