username,Data,stories
ocupa_politica,23/5/2018-23:36,0
agoramovimento,23/5/2018-23:36,3
as_muitas,23/5/2018-23:36,0
bancadaativista,23/5/2018-23:36,0
renovabr,23/5/2018-23:36,0
midianinja,23/5/2018-23:36,4
342artes,23/5/2018-23:36,0
movimentosemterra,23/5/2018-23:36,0
movimentolutanosbairros,23/5/2018-23:36,0
uneoficial,23/5/2018-23:36,0
cutbrasil,23/5/2018-23:37,0
coletivojuntos,23/5/2018-23:37,0
movimentocorrenteza,23/5/2018-23:37,0
ujs_brasil,23/5/2018-23:37,4
ujr_brasil,23/5/2018-23:37,0
movimentoolga,23/5/2018-23:37,0
ubesoficial,23/5/2018-23:37,4
ujcbrasil,23/5/2018-23:37,0
rua_juventudeanticapitalista,23/5/2018-23:37,0
afronte.nacional,23/5/2018-23:37,2
contag,23/5/2018-23:37,0
portalgeledes,23/5/2018-23:37,0
marchamulheres,23/5/2018-23:37,0
naokahlo,23/5/2018-23:37,0
vemprarua_br,23/5/2018-23:37,0
revoltadoson,23/5/2018-23:37,0
estudantespelaliberdade,23/5/2018-23:37,0
mblivre,23/5/2018-23:37,5
movimentocontraacorrupcao,23/5/2018-23:37,0
nasruasbrasil,23/5/2018-23:37,0
luizinacioluladasilvaoficial,23/5/2018-23:37,0
fernandohaddadoficial,23/5/2018-23:37,0
cirogomes,23/5/2018-23:37,1
jdoriajr,23/5/2018-23:37,7
geraldoalckmin_,23/5/2018-23:37,1
jairmessiasbolsonaro,23/5/2018-23:37,4
micheltemer,23/5/2018-23:37,0
_marinasilva_,23/5/2018-23:37,1
levyfidelix28,23/5/2018-23:37,0
pastoreveraldo,23/5/2018-23:37,0
robertoljustus,23/5/2018-23:37,0
guilhermeboulos.oficial,23/5/2018-23:37,14
jaqueswagner,23/5/2018-23:37,0
fernando_collor,23/5/2018-23:37,0
buarquecristovam,23/5/2018-23:37,0
