Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Ocupapolitica,https://www.instagram.com/ocupa_politica/,515,864,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,7214,72,292
MUITAS,https://www.instagram.com/as_muitas/,1458,48,103
Bancada Ativista,https://www.instagram.com/bancadaativista/,3759,2700,136
RenovaBR,https://www.instagram.com/renovabr/,25791,2912,151
Mídia NINJA,https://www.instagram.com/midianinja/,266955,485,9607
342 Artes,https://www.instagram.com/342artes/,2670,3,106
MST Oficial,https://www.instagram.com/movimentosemterra/,29239,40,433
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,1020,90,35
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,36219,5430,1628
CUT Brasil,https://www.instagram.com/cutbrasil/,22010,428,876
Juntos!,https://www.instagram.com/coletivojuntos/,5452,2371,631
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,884,540,73
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9930,404,987
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,1003,4,91
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1110,380,422
UBES,https://www.instagram.com/ubesoficial/,11519,122,820
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,39768,892,325
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,505,273,38
,https://www.instagram.com/contag/,46,0,15
Geledés,https://www.instagram.com/portalgeledes/,33183,211,314
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5238,298,390
Não Me Kahlo,https://www.instagram.com/naokahlo/,71001,93,476
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,97023,591,4695
Revoltados On Line,https://www.instagram.com/revoltadoson/,22,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2330,138,42
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,173012,1520,2004
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,60,205,3
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,254115,2,254
Ciro Gomes,https://www.instagram.com/cirogomes/,116138,135,22
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_/,107123,34,3838
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1176076,351,1308
Michel Temer,https://www.instagram.com/micheltemer/,105263,104,623
Marina Silva,https://www.instagram.com/_marinasilva_/,94424,68,785
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9635,66,169
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,15272,301,1731
robertoljustus,https://www.instagram.com/robertoljustus/,1099113,152,1057
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,80477,106,707
Jaques Wagner,https://www.instagram.com/jaqueswagner/,22087,162,600
Fernando Collor,https://www.instagram.com/fernando_collor/,13706,753,1420
Cristovam Buarque,https://www.instagram.com/buarquecristovam/,9821,723,83
