Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Ocupapolitica,https://www.instagram.com/ocupa_politica/,512,864,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,7107,72,286
MUITAS,https://www.instagram.com/as_muitas/,1443,48,97
Bancada Ativista,https://www.instagram.com/bancadaativista/,3697,2700,136
RenovaBR,https://www.instagram.com/renovabr/,25469,6225,151
Mídia NINJA,https://www.instagram.com/midianinja/,263697,485,9537
342 Artes,https://www.instagram.com/342artes/,2677,3,105
MST Oficial,https://www.instagram.com/movimentosemterra/,28475,40,429
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,1013,90,34
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,35888,4064,1626
CUT Brasil,https://www.instagram.com/cutbrasil/,21709,427,867
Juntos!,https://www.instagram.com/coletivojuntos/,5439,2370,628
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,884,539,72
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9864,403,975
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,998,4,90
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1105,377,421
UBES,https://www.instagram.com/ubesoficial/,11489,122,817
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,39543,220,325
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,496,272,38
,https://www.instagram.com/contag/,46,0,15
Geledés,https://www.instagram.com/portalgeledes/,33091,211,314
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5204,298,389
Não Me Kahlo,https://www.instagram.com/naokahlo/,70493,93,475
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,95053,590,4686
Revoltados On Line,https://www.instagram.com/revoltadoson/,22,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2330,138,42
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,169869,1485,1987
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,60,205,3
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,249085,1,251
Ciro Gomes,https://www.instagram.com/cirogomes/,110986,133,18
geraldoalckmin_;/s;/s;/s;/s
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1158863,351,1299
Michel Temer,https://www.instagram.com/micheltemer/,100145,104,622
Marina Silva,https://www.instagram.com/_marinasilva_/,94233,68,785
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9641,66,169
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,15395,301,1726
robertoljustus,https://www.instagram.com/robertoljustus/,1097043,152,1054
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,77354,104,687
Jaques Wagner,https://www.instagram.com/jaqueswagner/,21918,162,599
Fernando Collor,https://www.instagram.com/fernando_collor/,13604,750,1420
Cristovam Buarque,https://www.instagram.com/buarquecristovam/,9817,723,83
